004048e0	Identity_ReturnArg	autoname-t6 [medium]: returns param_1 unchanged; trivial identity/passthrough function
00c4e380	ScriptEvent_DispatchIfActive	autoname-t6 [medium]: caller AddToRenderList; returns -4 unless param_4 valid and *(param_4+0x1f0)!=0 then ScriptEvent_DispatchByID
00c52aa0	CPU_IsCpuidSupported	autoname-t6 [high]: Classic EFLAGS ID-flag (bit 0x200000) toggle test: XOR 0x200000 and compare - detects CPUID support
00c57070	Stream_CheckBytesAvailable	autoname-t6 [medium]: Calls source->vf10(peek), then compares current pos (param+0xc/0x10) against required count (param+0x14); returns bool "enough bytes"
00c58270	Audio_RouteChannels2_c58270	autoname-t6 [medium]: Channel-count at this[8]; routes source this[1..4] to dest param2 and param2+0x200 via vf0x18(...,0x3f000000=0.5f)/vf0x20; stereo channel setup
00c582f0	Audio_RouteChannels2_c582f0	autoname-t6 [medium]: Sibling of c58270: routes this[1..4] to param2/+0x200 via vf0x10(...,0x4000)/vf0x14; two-channel routing
00c58630	Audio_RouteChannels4_c58630	autoname-t6 [medium]: Handles 1/2/4 channels writing param2,+0x200,+0x400,+0x600 from this[1..4] via vf0x10/vf0x14; four-channel routing
00c59570	Ctor_ZeroInit_012b8f64	autoname-t6 [medium]: Sets vtable 012b8f64 then zero-fills 0x58 dwords and clears [0x59]/[0x5d]; constructor
00c5d150	SIMD_FixedPointMulAccumulate	autoname-t6 [medium]: pmulhw of 16-bit vector by scalar param_4, accumulates 8 sign-extended lanes into int output; SSE fixed-point MAC loop
00c5d1f0	SIMD_FixedPointRampMulAccumulate	autoname-t6 [medium]: pmulhw with per-lane ramp (param_1+param_5*k) advanced by paddsw each iter, accumulates into int output
00c5d370	IntBlock128_AddInPlace_c5d370	autoname-t6 [medium]: 8-iteration loop each adding 16 ints (param1[i]+param2[i]->param2[i]), advancing 0x10; element-wise add of 128 ints (param2 += param1)
00c5d3f0	IntBlock128_AddInPlace_c5d3f0	autoname-t6 [medium]: Byte-identical 128-int element-wise accumulate (param2 += param1)
00c5d4b0	IntBlock128_AddInPlace_c5d4b0	autoname-t6 [medium]: Byte-identical 128-int element-wise accumulate (param2 += param1)
00c62ff0	Audio_MatchFormatGuid	autoname-t6 [medium]: Compares incoming 16-byte key against several format GUIDs (DAT_012b9468/78/88/98), selects a this+offset block, re-matches against DAT_012b94b8 and a range check; format/subtype r
00c6a180	Audio_ProcessTriggersForFrame	autoname-t6 [medium]: caller GetCurrentMask; if frame index(+0x18) in range [+0x13c,+0x140) calls Audio_ProcessMultipleTriggerEvents else Audio_ProcessTriggerActivations
00c6a200	Graphics_ProcessTerrainStreamForFrame	autoname-t6 [medium]: caller GetCurrentMask; if index(+0x18) in range [+0x1d8,+0x1dc) calls Graphics_ProcessTerrainStreamingChunks else Graphics_LoadTerrainChunksAndStream
00c73340	CAudioSoundBuffer_GetPosition	autoname-t6 [medium]: Calls CAudioSoundBuffer_TransferPCMData; returns this+0x30 or this+0x34 into *param2 depending on format field ==2; a buffer position/state getter
00c786e0	Simd_PackLowDwords	autoname-t6 [medium]: Packs low dword of *param2 (low) and *param3 (high) into *param1 (MMX punpckldq-style build)
00c78720	Simd_PackHighDwords	autoname-t6 [medium]: Packs high dwords of *param2 and *param3 into *param1 (MMX punpckhdq-style), returns *param3
00c787d0	Simd_PackedAddSaturateWords	autoname-t6 [high]: Decomp is paddsw(*param2,*param3) stored to *param1; MMX PADDSW wrapper
00c78810	Simd_PackedMulHighWords	autoname-t6 [high]: Decomp is pmulhw(*param2,*param3); MMX PMULHW wrapper
00c78850	Simd_PackedMultiplyAddWords	autoname-t6 [high]: Decomp is pmaddwd(*param2,*param3); MMX PMADDWD wrapper
00c78890	Simd_PackSignedDwordsToWords	autoname-t6 [high]: Decomp is packssdw(*param2,*param3); MMX PACKSSDW wrapper
00c788d0	Simd_PackedAddDwords	autoname-t6 [high]: Adds low and high dwords of *param2/*param3 separately into *param1; MMX PADDD (unsaturated dword add)
00c89110	GuildTrainingSkillScript_AllocSkillSlots	autoname-t6 [medium]: caller CQ_GuildTrainingSkillScript_InitializeSkillSlots; bump-allocates aligned zeroed block, sets this+4/8, calls CQ_GuildTrainingSkillScript::Init(this+0x10)
00c896c0	GuildTrainingSkillScript_AllocEffectArray	autoname-t6 [medium]: caller CQ_GuildTrainingSkillScript_InitializeEffectArray; bump-allocates zeroed block into this+0x18, calls CQ_GuildTrainingSkillScript::Init(this+4)
00c91980	BoundingBox_AccumulateMax	autoname-t6 [medium]: caller BoundingBox_ComputeTransform; 7-iteration loop taking component-wise max of two float arrays (stride 8)
00c9a230	Audio_FFT_MixedRadixTransform	autoname-t6 [medium]: caller Audio_TransformFFTCoefficients; uses fcos/fsin twiddles, butterfly stages with radix param_3/param_4 over work buffers
00ca5da0	CritSec_GetField44_Locked	autoname-t6 [medium]: Null-check returns E_POINTER(0x80004003), then Enter/LeaveCriticalSection(this-100) around copying *(this+0x44) to *param2; locked getter
00ca65b0	Audio_WaitForBufferEvent	autoname-t6 [medium]: Calls vf0x48, loops WaitForMultipleObjects(2 handles,10000) while WAIT_TIMEOUT(0x102), vf0x4c; returns 0x80040223 on index0 else clears this[0x1a]; waits on 2 events
00ca6620	Thread_WaitAndGetStatus	autoname-t6 [medium]: OS_WaitForMultipleObjectsWithMessages(this+0x50); on WAIT_TIMEOUT returns 0x40237 else 0; copies this+8 status to *param3
00ca67b0	CAudioBank_Stop	autoname-t6 [medium]: SEH+CritSec(this+0x70); if state(this+8)==1 vf0x30(1); else resumes, sets flag 0xa4=1, timeKillEvent(0xb4), releases; stop/deactivate path
00ca68f0	CAudioBank_Start	autoname-t6 [medium]: SEH+CritSec(this+0x70); SetEvent(this+0x50), CAudioBank_SetAudioFormat, clears flag 0xa4=0, sets state(this+8)=2; start/activate path
00ca6b00	AudioThread_RequestStop	autoname-t6 [medium]: If this[5]!=0 sets flag this[0x1c]=1 and (if this[0x1b]==0) SetEvent(this[0x17]) plus vf0x60; signals a stop-request event
00ca6b40	AudioThread_StopAndWait	autoname-t6 [medium]: ResetEvent(this[0x17]) if state[5]==1, vf0x28(0)/vf0x6c/vf0x70, then ThreadMsg_PumpAndWaitForCompletion; stops and waits for worker
00ca8610	COM_QueryInterface_012a9a24	autoname-t6 [medium]: Calls param2->vf0x24 then param2->vf0(QueryInterface for IID DAT_012a9a24) into this+0x9c; returns 0x80040208 on id mismatch
00caf090	CThingFilter_CheckThing	autoname-t6 [medium]: Calls vf0x50, COM_QueryInterface_Wrapper, then CThingFilter_IsValid::operator()(this,thing) and releases; evaluates a thing filter predicate
00cb1ae0	AudioBank_MatchesSignature	autoname-t6 [medium]: caller AudioBank_LoadAsyncWithRetry; compares two 16-byte fields against signature DAT_012c0694, returns match bool
00cb1b20	AudioBank_CompareTransactionKeys	autoname-t6 [medium]: caller AudioBank_ExecuteAsyncTransaction; multiple 16-byte block compares against signature/other and final string(len+ptr) compare
00cd2d37	CList_InitSentinelNode	autoname-t6 [medium]: caller CopyBackBufferToTexture; CList_AllocateNode then wires circular sentinel (next/prev point to self)
00cd2d61	CTree_InitSentinelNode	autoname-t6 [medium]: caller CopyBackBufferToTexture; CTree_AllocateNode then wires circular sentinel node (next/prev self)
00cdb710	List_AllocSelfLinkedNode	autoname-t6 [medium]: malloc(0x14) then node->[0]=node, node->[4]=node (self-referential head sentinel of a circular list)
00cdb750	StdMap_AllocHead	autoname-t6 [medium]: malloc(0x24), sets count[1]=0, node->0/+4=0, +8=self, +0xc=self; std::map/tree head-node init (matches StdMap_DestroyNode family)
00cdbeb0	StdMap_DestroyAll	autoname-t6 [medium]: Calls StdMap_DestroyNode on root, resets head links and count, then free(*this); container clear+free
00d9d930	CActiveEntityScriptBase_Create_d9d930	autoname-t6 [medium]: operator_new(0x60)+CActiveEntityScriptBase ctor, sets vtable 012d6c44, wraps in CCountedPointer<CFileInfo>; quest-script allocator (name->allocator table)
00d9ffd0	CActiveEntityScriptBase_Create_d9ffd0	autoname-t6 [medium]: Identical allocator pattern; vtable 012d6e5c; CActiveEntityScriptBase factory
00da8320	CActiveEntityScriptBase_Create_da8320	autoname-t6 [medium]: Identical allocator pattern; vtable 012d7844; CActiveEntityScriptBase factory
00db8520	CActiveEntityScriptBase_Create_db8520	autoname-t6 [medium]: Identical allocator pattern; vtable 012d95b0; CActiveEntityScriptBase factory
00dc0170	CActiveEntityScriptBase_Create_dc0170	autoname-t6 [medium]: Identical allocator pattern; vtable 012d9f9c; CActiveEntityScriptBase factory
00dc8700	CActiveEntityScriptBase_Create_dc8700	autoname-t6 [medium]: Identical allocator pattern; vtable 012daa38; CActiveEntityScriptBase factory
00dcf790	CActiveEntityScriptBase_Create_dcf790	autoname-t6 [medium]: Identical allocator pattern; vtable 012db50c; CActiveEntityScriptBase factory
00dd9300	CActiveEntityScriptBase_Create_dd9300	autoname-t6 [medium]: Identical allocator pattern; vtable 012dc584; CActiveEntityScriptBase factory
00ddc7d0	CActiveEntityScriptBase_Create_ddc7d0	autoname-t6 [medium]: Identical allocator pattern; vtable 012dca80; CActiveEntityScriptBase factory
00ddeee0	CActiveEntityScriptBase_Create_ddeee0	autoname-t6 [medium]: Identical allocator pattern; vtable 012dcd2c; CActiveEntityScriptBase factory
00dec5b0	CActiveEntityScriptBase_Create_dec5b0	autoname-t6 [medium]: Identical allocator pattern; vtable 012ddc04; CActiveEntityScriptBase factory
00def220	CActiveEntityScriptBase_Create_def220	autoname-t6 [medium]: Identical allocator pattern; vtable 012ddf08; CActiveEntityScriptBase factory
00df3550	CActiveEntityScriptBase_Create_df3550	autoname-t6 [medium]: Identical operator_new(0x60)+CActiveEntityScriptBase ctor+CCountedPointer wrap; quest-script allocator
00df4a50	CActiveEntityScriptBase_Create_df4a50	autoname-t6 [medium]: Identical CActiveEntityScriptBase allocator pattern (272-byte factory)
00df99f0	CActiveEntityScriptBase_Create_df99f0	autoname-t6 [medium]: Identical CActiveEntityScriptBase allocator pattern (272-byte factory)
00dfc100	CActiveEntityScriptBase_Create_dfc100	autoname-t6 [medium]: Identical CActiveEntityScriptBase allocator pattern (272-byte factory)
00e05170	CActiveEntityScriptBase_Create_e05170	autoname-t6 [medium]: Identical CActiveEntityScriptBase allocator pattern (272-byte factory)
00ee3140	Script_TravHeroWhisper_Main	autoname-t6 [high]: Strings "TravHero Whisper"/"CS_TRAVHERO_WHISPERLEAVE"/"CS_TRAVHERO_WHISPERPUB"/"TEXT_QST_B14_WHISPERPUB"; calls PlayCutscene, AllocateMapThingUID; B14 Whisper quest script body
00ee41f0	HeroMorphDefScreen_Construct	autoname-t6 [medium]: __thiscall ctor over CHeroMorphDef: vtable 012f46b8, 18x3 + 3x5 CCharString arrays, NHeroInformationScreens::CBase ctor
00ee4dd0	Script_TourGuide_Main	autoname-t6 [high]: Strings "TourGuideGuide"/"M_TG_ClosingTimeExit"; uses FollowThing/MoveToPosition/Speak on scripted thing; Tour Guide quest script body
00eeaef0	Script_PickpocketExpression	autoname-t6 [medium]: String "EXPRESSION_PICKPOCKET"; rand/IsAlive checks driving pickpocket expression and steal chance; pickpocket script body
00ef54a0	Script_CrateBlastBoxTrap	autoname-t6 [medium]: Strings "CrateDeathMarker"/"THING_EXPLOSION_BLASTBOX"; spawns marker, waits until hero within 2.0, then creates explosion; crate blast-box trap script
00f35510	Vector_CopyAssign_CThingBuildingDef	autoname-t6 [medium]: caller Vector_Resize_Wrapper; forward loop stride 0x38 CThingBuildingDef::operator= + vector_assign_CClanMember
00f35910	Vector_CopyAssignBackward_CThingBuildingDef	autoname-t6 [medium]: caller Vector_Resize_CThingBuildingDef; backward loop stride 0x38 CThingBuildingDef::operator= + vector_assign_CClanMember
01229370	GlobalDtor_Free_013ba8ec	autoname-t6 [medium]: atexit-style: if DAT_013ba8ec!=0 free it; global cleanup destructor
01229630	GlobalDtor_Free_013bac20	autoname-t6 [medium]: atexit-style: if DAT_013bac20!=0 free it; global cleanup destructor
0122a2f0	DynamicInit_013bb6a4	autoname-t6 [medium]: Dynamic initializer copying a value into global DAT_013bb6a4 via _Cons_val
0122a940	DynamicInit_013caa54_58	autoname-t6 [medium]: Dynamic initializer populating globals DAT_013caa58 and DAT_013caa54 via _Cons_val
0122ad60	GlobalDtor_Free_014377f0	autoname-t6 [medium]: atexit-style: if DAT_014377f0!=0 free it; global cleanup destructor
0122adb0	GlobalDtor_Free_0143b978	autoname-t6 [medium]: atexit-style: if DAT_0143b978!=0 free it; global cleanup destructor
